n,k,spike_index,log10_q_prev,C_km1,delta,asymptotic_slope,offset_k4,offset_match
2,2,10,4.690240,2,+2.690240,1,+0.690240,
2,3,32,51.698101,48,+3.698101,1,+0.698101,log_b(b/n)
2,4,118,727.698883,723,+4.698883,1,+0.698883,log_b(b/n)
3,2,16,6.041349,2,+4.041349,2,+0.041349,log_b(b/(b-1))
3,3,44,48.045323,42,+6.045323,2,+0.045323,log_b(b/(b-1))
3,4,162,650.045714,642,+8.045714,2,+0.045714,log_b(b/(b-1))
4,2,16,8.694605,2,+6.694605,3,+0.694605,
4,3,52,43.096476,34,+9.096476,3,+0.096476,
4,4,148,553.397897,541,+12.397897,3,+0.397897,log_b(b/n)
5,2,18,9.995635,1,+8.995635,4,+0.995635,
5,3,56,42.999565,31,+11.999565,4,-0.000435,0
5,4,178,478.999957,463,+15.999957,4,-0.000043,0
6,2,22,11.041393,1,+10.041393,5,+0.041393,log_b(b/(b-1))
6,3,72,41.045323,27,+14.045323,5,-0.954677,-1 + log_b(b/(b-1))
6,4,188,421.045714,402,+19.045714,5,-0.954286,-1 + log_b(b/(b-1))
7,2,9,3.991270,1,+2.991270,6,-9.008730,
7,3,82,39.950347,23,+16.950347,6,-1.049653,
7,4,218,377.154859,353,+24.154859,6,+0.154859,log_b(b/n)
10,2,8,3.991270,0,+3.991270,9,-14.008730,
10,3,66,44.397505,18,+26.397505,9,-0.602495,
10,4,212,296.698927,261,+35.698927,9,-0.301073,
11,2,6,2.949878,0,+2.949878,10,-17.050122,
11,3,72,47.356113,18,+29.356113,10,-0.643887,
11,4,258,275.917171,237,+38.917171,10,-1.082829,
13,2,10,3.991270,0,+3.991270,12,-20.008730,
13,3,88,49.584592,14,+35.584592,12,-0.415408,
13,4,288,252.488073,206,+46.488073,12,-1.511927,
